
Strategy Name,Parent Family,Type,Core / Subtype / Variation,Core Logic,How it Works,Typical Use Case,Known Users / Origin,Evidence Type,Confidence Level
London Open Breakout,Breakout Trading,Technical,Core,Focuses on liquidity and volatility during the London open; traders wait for price to break out of the Asian range and enter with volume confirmation.,Mark the Asian session range and trade the breakout at the London open,General use across trading horizons.,Not clearly attributable,Broker,High
London Open Breakout (Intraday),Breakout Trading,Technical,Variation,Focuses on liquidity and volatility during the London open; traders wait for price to break out of the Asian range and enter with volume confirmation.,Mark the Asian session range and trade the breakout at the London open Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Broker,High
London Open Breakout (Swing),Breakout Trading,Technical,Variation,Focuses on liquidity and volatility during the London open; traders wait for price to break out of the Asian range and enter with volume confirmation.,Mark the Asian session range and trade the breakout at the London open Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Broker,High
New York Open Breakout,Breakout Trading,Technical,Core,Targets volatility when NY markets open; traders define the early range and trade breakouts with momentum and volume cues.,Identify the pre‑NY range and trade the breakout at the New York session,General use across trading horizons.,Not clearly attributable,Common practice,High
New York Open Breakout (Intraday),Breakout Trading,Technical,Variation,Targets volatility when NY markets open; traders define the early range and trade breakouts with momentum and volume cues.,Identify the pre‑NY range and trade the breakout at the New York session Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
New York Open Breakout (Swing),Breakout Trading,Technical,Variation,Targets volatility when NY markets open; traders define the early range and trade breakouts with momentum and volume cues.,Identify the pre‑NY range and trade the breakout at the New York session Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
Overnight Range Breakout,Breakout Trading,Technical,Core,"During low‑liquidity overnight sessions, gold often consolidates; traders set breakout orders for the next active session.",Measure the overnight consolidation range and trade breakout during active hours,General use across trading horizons.,Not clearly attributable,Common practice,Medium
Overnight Range Breakout (Intraday),Breakout Trading,Technical,Variation,"During low‑liquidity overnight sessions, gold often consolidates; traders set breakout orders for the next active session.",Measure the overnight consolidation range and trade breakout during active hours Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Overnight Range Breakout (Swing),Breakout Trading,Technical,Variation,"During low‑liquidity overnight sessions, gold often consolidates; traders set breakout orders for the next active session.",Measure the overnight consolidation range and trade breakout during active hours Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Bollinger Band Breakout,Breakout Trading,Technical,Core,"When Bollinger Bands squeeze, volatility contraction suggests an impending expansion; a breakout beyond the bands signals entry.",Use Bollinger Bands to identify volatility contractions and trade price breaking out of bands,General use across trading horizons.,Not clearly attributable,Common practice,High
Bollinger Band Breakout (Intraday),Breakout Trading,Technical,Variation,"When Bollinger Bands squeeze, volatility contraction suggests an impending expansion; a breakout beyond the bands signals entry.",Use Bollinger Bands to identify volatility contractions and trade price breaking out of bands Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
Bollinger Band Breakout (Swing),Breakout Trading,Technical,Variation,"When Bollinger Bands squeeze, volatility contraction suggests an impending expansion; a breakout beyond the bands signals entry.",Use Bollinger Bands to identify volatility contractions and trade price breaking out of bands Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
Donchian Channel Breakout,Breakout Trading,Technical,Core,Tracks the highest high and lowest low over a set period; entries occur when price breaks these extremes.,Use Donchian channel highs and lows to trigger trades on new extremes,General use across trading horizons.,Not clearly attributable,Common practice,High
Donchian Channel Breakout (Intraday),Breakout Trading,Technical,Variation,Tracks the highest high and lowest low over a set period; entries occur when price breaks these extremes.,Use Donchian channel highs and lows to trigger trades on new extremes Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
Donchian Channel Breakout (Swing),Breakout Trading,Technical,Variation,Tracks the highest high and lowest low over a set period; entries occur when price breaks these extremes.,Use Donchian channel highs and lows to trigger trades on new extremes Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
Pivot Point Breakout,Breakout Trading,Technical,Core,"Uses pivot points derived from prior session’s high, low, close to anticipate intraday support and resistance; breakouts beyond first levels offer entries.",Identify daily pivot points and trade breakouts beyond R1/S1 levels,General use across trading horizons.,Not clearly attributable,Broker,Medium
Pivot Point Breakout (Intraday),Breakout Trading,Technical,Variation,"Uses pivot points derived from prior session’s high, low, close to anticipate intraday support and resistance; breakouts beyond first levels offer entries.",Identify daily pivot points and trade breakouts beyond R1/S1 levels Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Broker,Medium
Pivot Point Breakout (Swing),Breakout Trading,Technical,Variation,"Uses pivot points derived from prior session’s high, low, close to anticipate intraday support and resistance; breakouts beyond first levels offer entries.",Identify daily pivot points and trade breakouts beyond R1/S1 levels Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Broker,Medium
Bollinger Band Mean Reversion,Mean Reversion,Technical,Core,"Assumes gold price oscillates within bands; when price touches an extreme and reverts back toward the moving average, traders enter against the extreme.",Fade price extremes at upper or lower Bollinger Bands,General use across trading horizons.,Not clearly attributable,Common practice,High
Bollinger Band Mean Reversion (Intraday),Mean Reversion,Technical,Variation,"Assumes gold price oscillates within bands; when price touches an extreme and reverts back toward the moving average, traders enter against the extreme.",Fade price extremes at upper or lower Bollinger Bands Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
Bollinger Band Mean Reversion (Swing),Mean Reversion,Technical,Variation,"Assumes gold price oscillates within bands; when price touches an extreme and reverts back toward the moving average, traders enter against the extreme.",Fade price extremes at upper or lower Bollinger Bands Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
RSI Mean Reversion,Mean Reversion,Technical,Core,"Based on relative strength index; overbought or oversold levels suggest short‑term exhaustion, prompting entries expecting a reversion.",Use RSI readings above 70 or below 30 to anticipate reversals,General use across trading horizons.,Not clearly attributable,Broker,High
RSI Mean Reversion (Intraday),Mean Reversion,Technical,Variation,"Based on relative strength index; overbought or oversold levels suggest short‑term exhaustion, prompting entries expecting a reversion.",Use RSI readings above 70 or below 30 to anticipate reversals Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Broker,High
RSI Mean Reversion (Swing),Mean Reversion,Technical,Variation,"Based on relative strength index; overbought or oversold levels suggest short‑term exhaustion, prompting entries expecting a reversion.",Use RSI readings above 70 or below 30 to anticipate reversals Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Broker,High
VWAP Reversion,Mean Reversion,Technical,Core,"Intraday, volume‑weighted average price is seen as fair value; when price deviates substantially, traders expect a pullback toward VWAP.",Trade price extremes that deviate significantly from intraday VWAP,General use across trading horizons.,Not clearly attributable,Common practice,Medium
VWAP Reversion (Intraday),Mean Reversion,Technical,Variation,"Intraday, volume‑weighted average price is seen as fair value; when price deviates substantially, traders expect a pullback toward VWAP.",Trade price extremes that deviate significantly from intraday VWAP Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
VWAP Reversion (Swing),Mean Reversion,Technical,Variation,"Intraday, volume‑weighted average price is seen as fair value; when price deviates substantially, traders expect a pullback toward VWAP.",Trade price extremes that deviate significantly from intraday VWAP Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Moving Average Crossover (20/50 EMA),Trend Following,Technical,Core,A shorter EMA crossing above a longer EMA signals momentum shift; traders ride the emerging trend with trailing stops.,Use 20‑period and 50‑period EMAs; enter long when short EMA crosses above long EMA,General use across trading horizons.,Not clearly attributable,Broker,High
Moving Average Crossover (20/50 EMA) (Intraday),Trend Following,Technical,Variation,A shorter EMA crossing above a longer EMA signals momentum shift; traders ride the emerging trend with trailing stops.,Use 20‑period and 50‑period EMAs; enter long when short EMA crosses above long EMA Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Broker,High
Moving Average Crossover (20/50 EMA) (Swing),Trend Following,Technical,Variation,A shorter EMA crossing above a longer EMA signals momentum shift; traders ride the emerging trend with trailing stops.,Use 20‑period and 50‑period EMAs; enter long when short EMA crosses above long EMA Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Broker,High
Golden Cross (50/200 SMA),Trend Following,Technical,Core,"When the 50‑day SMA crosses above the 200‑day SMA, it indicates a long‑term bullish trend; the reverse (death cross) signals bearishness.",Use 50‑day and 200‑day SMAs; a cross signals major trend shift,General use across trading horizons.,Not clearly attributable,Academic,High
Golden Cross (50/200 SMA) (Intraday),Trend Following,Technical,Variation,"When the 50‑day SMA crosses above the 200‑day SMA, it indicates a long‑term bullish trend; the reverse (death cross) signals bearishness.",Use 50‑day and 200‑day SMAs; a cross signals major trend shift Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Academic,High
Golden Cross (50/200 SMA) (Swing),Trend Following,Technical,Variation,"When the 50‑day SMA crosses above the 200‑day SMA, it indicates a long‑term bullish trend; the reverse (death cross) signals bearishness.",Use 50‑day and 200‑day SMAs; a cross signals major trend shift Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Academic,High
EMA Cross with RSI Filter,Trend Following,Technical,Core,Requires both a moving average cross and an RSI reading within neutral range to avoid overbought entry; improves trend filter.,Combine moving average crossover with RSI not overextended,General use across trading horizons.,Not clearly attributable,Broker,High
EMA Cross with RSI Filter (Intraday),Trend Following,Technical,Variation,Requires both a moving average cross and an RSI reading within neutral range to avoid overbought entry; improves trend filter.,Combine moving average crossover with RSI not overextended Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Broker,High
EMA Cross with RSI Filter (Swing),Trend Following,Technical,Variation,Requires both a moving average cross and an RSI reading within neutral range to avoid overbought entry; improves trend filter.,Combine moving average crossover with RSI not overextended Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Broker,High
MACD Momentum,Momentum Trading,Technical,Core,"When the MACD crosses above the signal line and histogram turns positive, momentum is bullish; the opposite signals bearish momentum.",Use MACD line crossing signal line and histogram to gauge momentum,General use across trading horizons.,Not clearly attributable,Common practice,High
MACD Momentum (Intraday),Momentum Trading,Technical,Variation,"When the MACD crosses above the signal line and histogram turns positive, momentum is bullish; the opposite signals bearish momentum.",Use MACD line crossing signal line and histogram to gauge momentum Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
MACD Momentum (Swing),Momentum Trading,Technical,Variation,"When the MACD crosses above the signal line and histogram turns positive, momentum is bullish; the opposite signals bearish momentum.",Use MACD line crossing signal line and histogram to gauge momentum Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,High
Rate of Change Momentum,Momentum Trading,Technical,Core,A rising rate of change indicates accelerating price; traders enter in the direction of increasing momentum and exit when it wanes.,Measure percentage change over N periods to capture momentum,General use across trading horizons.,Not clearly attributable,Common practice,Medium
Rate of Change Momentum (Intraday),Momentum Trading,Technical,Variation,A rising rate of change indicates accelerating price; traders enter in the direction of increasing momentum and exit when it wanes.,Measure percentage change over N periods to capture momentum Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
Rate of Change Momentum (Swing),Momentum Trading,Technical,Variation,A rising rate of change indicates accelerating price; traders enter in the direction of increasing momentum and exit when it wanes.,Measure percentage change over N periods to capture momentum Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
DMI/ADX Trend System,Trend Following,Technical,Core,A strong trend is present when ADX exceeds threshold and +DI or -DI leads; traders enter in the direction of the dominant directional index.,Use Directional Movement Index (+DI/-DI) and Average Directional Index (ADX),General use across trading horizons.,Not clearly attributable,Common practice,Medium
DMI/ADX Trend System (Intraday),Trend Following,Technical,Variation,A strong trend is present when ADX exceeds threshold and +DI or -DI leads; traders enter in the direction of the dominant directional index.,Use Directional Movement Index (+DI/-DI) and Average Directional Index (ADX) Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,Medium
DMI/ADX Trend System (Swing),Trend Following,Technical,Variation,A strong trend is present when ADX exceeds threshold and +DI or -DI leads; traders enter in the direction of the dominant directional index.,Use Directional Movement Index (+DI/-DI) and Average Directional Index (ADX) Applied on a swing basis with time-specific entry and exit rules.,Used by swing traders to capture multi-day moves.,Not clearly attributable,Common practice,Medium
Trendline Break and Retest,Price Action Trading,Technical,Core,"When price breaks a well‑defined trendline and then retests from the other side, traders enter in the direction of the break.",Draw trendlines; trade the break and subsequent retest,General use across trading horizons.,Not clearly attributable,Common practice,High
Trendline Break and Retest (Intraday),Price Action Trading,Technical,Variation,"When price breaks a well‑defined trendline and then retests from the other side, traders enter in the direction of the break.",Draw trendlines; trade the break and subsequent retest Applied on a intraday basis with time-specific entry and exit rules.,Used by day traders and scalpers for short-term trades.,Not clearly attributable,Common practice,High
